district,date,month,year,visitors
Warangal (Urban),2016-01-07,July,2016,53
Warangal (Urban),2016-01-08,August,2016,102
Warangal (Urban),2016-01-09,September,2016,118
Warangal (Urban),2016-01-10,October,2016,108
Warangal (Urban),2016-01-11,November,2016,97
Warangal (Urban),2016-01-12,December,2016,132
Yadadri Bhongir,2016-01-01,January,2016,0
Yadadri Bhongir,2016-01-02,February,2016,0
Yadadri Bhongir,2016-01-03,March,2016,0
Yadadri Bhongir,2016-01-04,April,2016,0
Yadadri Bhongir,2016-01-05,May,2016,0
Yadadri Bhongir,2016-01-06,June,2016,0
Yadadri Bhongir,2016-01-07,July,2016,0
Yadadri Bhongir,2016-01-08,August,2016,0
Yadadri Bhongir,2016-01-09,September,2016,0
Yadadri Bhongir,2016-01-10,October,2016,0
Yadadri Bhongir,2016-01-11,November,2016,0
Yadadri Bhongir,2016-01-12,December,2016,0
Adilabad,2017-01-01,January,2017,5
Adilabad,2017-01-02,February,2017,0
Adilabad,2017-01-03,March,2017,0
Adilabad,2017-01-04,April,2017,0
Adilabad,2017-01-05,May,2017,0
Adilabad,2017-01-06,June,2017,3
Adilabad,2017-01-07,July,2017,0
Adilabad,2017-01-08,August,2017,0
Adilabad,2017-01-09,September,2017,3
Adilabad,2017-01-10,October,2017,0
Adilabad,2017-01-11,November,2017,0
Adilabad,2017-01-12,December,2017,0
Bhadradri Kothagudem ,2017-01-01,January,2017,0
Bhadradri Kothagudem ,2017-01-02,February,2017,0
Bhadradri Kothagudem ,2017-01-03,March,2017,0
Bhadradri Kothagudem ,2017-01-04,April,2017,0
Bhadradri Kothagudem ,2017-01-05,May,2017,0
Bhadradri Kothagudem ,2017-01-06,June,2017,0
Bhadradri Kothagudem ,2017-01-07,July,2017,0
Bhadradri Kothagudem ,2017-01-08,August,2017,0
Bhadradri Kothagudem ,2017-01-09,September,2017,0
Bhadradri Kothagudem ,2017-01-10,October,2017,0
Bhadradri Kothagudem ,2017-01-11,November,2017,0
Bhadradri Kothagudem ,2017-01-12,December,2017,0
Hyderabad,2017-01-01,January,2017,19286
Hyderabad,2017-01-02,February,2017,18097
Hyderabad,2017-01-03,March,2017,13875
Hyderabad,2017-01-04,April,2017,12996
Hyderabad,2017-01-05,May,2017,12983
Hyderabad,2017-01-06,June,2017,12486
Hyderabad,2017-01-07,July,2017,18144
Hyderabad,2017-01-08,August,2017,16985
Hyderabad,2017-01-09,September,2017,27856
Hyderabad,2017-01-10,October,2017,26368
Hyderabad,2017-01-11,November,2017,29170
Hyderabad,2017-01-12,December,2017,38933
Jagtial ,2017-01-01,January,2017,0
Jagtial ,2017-01-02,February,2017,0
Jagtial ,2017-01-03,March,2017,0
Jagtial ,2017-01-04,April,2017,0
Jagtial ,2017-01-05,May,2017,0
Jagtial ,2017-01-06,June,2017,0
Jagtial ,2017-01-07,July,2017,0
Jagtial ,2017-01-08,August,2017,0
Jagtial ,2017-01-09,September,2017,0
Jagtial ,2017-01-10,October,2017,0
Jagtial ,2017-01-11,November,2017,0
Jagtial ,2017-01-12,December,2017,0
Jangaon ,2017-01-01,January,2017,0
Jangaon ,2017-01-02,February,2017,0
Jangaon ,2017-01-03,March,2017,0
Jangaon ,2017-01-04,April,2017,0
Jangaon ,2017-01-05,May,2017,0
Jangaon ,2017-01-06,June,2017,0
Jangaon ,2017-01-07,July,2017,0
Jangaon ,2017-01-08,August,2017,0
Jangaon ,2017-01-09,September,2017,0
Jangaon ,2017-01-10,October,2017,0
Jangaon ,2017-01-11,November,2017,0
Jangaon ,2017-01-12,December,2017,0
Jayashankar Bhoopalpally,2017-01-01,January,2017,85
Jayashankar Bhoopalpally,2017-01-02,February,2017,38
Jayashankar Bhoopalpally,2017-01-03,March,2017,35
Jayashankar Bhoopalpally,2017-01-04,April,2017,36
Jayashankar Bhoopalpally,2017-01-05,May,2017,40
Jayashankar Bhoopalpally,2017-01-06,June,2017,35
Jayashankar Bhoopalpally,2017-01-07,July,2017,42
Jayashankar Bhoopalpally,2017-01-08,August,2017,45
Jayashankar Bhoopalpally,2017-01-09,September,2017,56
Jayashankar Bhoopalpally,2017-01-10,October,2017,55
Jayashankar Bhoopalpally,2017-01-11,November,2017,58
Jayashankar Bhoopalpally,2017-01-12,December,2017,57
Jogulamba Gadwal ,2017-01-01,January,2017,20
Jogulamba Gadwal ,2017-01-02,February,2017,16
Jogulamba Gadwal ,2017-01-03,March,2017,32
Jogulamba Gadwal ,2017-01-04,April,2017,29
Jogulamba Gadwal ,2017-01-05,May,2017,31
Jogulamba Gadwal ,2017-01-06,June,2017,32
Jogulamba Gadwal ,2017-01-07,July,2017,34
Jogulamba Gadwal ,2017-01-08,August,2017,25
Jogulamba Gadwal ,2017-01-09,September,2017,42
Jogulamba Gadwal ,2017-01-10,October,2017,13
Jogulamba Gadwal ,2017-01-11,November,2017,21
Jogulamba Gadwal ,2017-01-12,December,2017,10
Kamareddy ,2017-01-01,January,2017,0
Kamareddy ,2017-01-02,February,2017,0
Kamareddy ,2017-01-03,March,2017,0
Kamareddy ,2017-01-04,April,2017,0
Kamareddy ,2017-01-05,May,2017,0
Kamareddy ,2017-01-06,June,2017,0
Kamareddy ,2017-01-07,July,2017,0
Kamareddy ,2017-01-08,August,2017,0
Kamareddy ,2017-01-09,September,2017,0
Kamareddy ,2017-01-10,October,2017,0
Kamareddy ,2017-01-11,November,2017,0
Kamareddy ,2017-01-12,December,2017,0
Karimnagar ,2017-01-01,January,2017,0
Karimnagar ,2017-01-02,February,2017,0
Karimnagar ,2017-01-03,March,2017,0
Karimnagar ,2017-01-04,April,2017,0
